model,fraction,run,n_train,train_mse,test_mse,train_r2,test_r2
Classical,0.1,1,80,0.0897459400593009,0.10299103166682816,0.6401165310905227,0.5876647716271517
ANN (MLP),0.1,1,80,0.05037379258045151,0.12787346446613257,0.7979998292513223,0.48804538298015177
Classical,0.1,2,80,0.08117847691789885,0.11040474649178257,0.6720061538670754,0.5579831989118903
ANN (MLP),0.1,2,80,0.03519803689515003,0.14148647709723977,0.8577857095145454,0.43354428146435875
Classical,0.1,3,80,0.09477042658236365,0.0934955261654703,0.6187738968402718,0.6256810082455397
ANN (MLP),0.1,3,80,0.045450378535736594,0.14781093427486186,0.8171700674866661,0.4082236641983309
Classical,0.3,1,240,0.1039228733039204,0.09349681876803137,0.580109602812443,0.6256758331777343
ANN (MLP),0.3,1,240,0.06871029000194985,0.11197147334769547,0.7223826666587886,0.5517106461907898
Classical,0.3,2,240,0.09112752225067734,0.09152783099645521,0.6311611775954595,0.6335588790052838
ANN (MLP),0.3,2,240,0.062435285565863065,0.12562951232753186,0.7472930610221549,0.49702927703920774
Classical,0.3,3,240,0.09297622068183901,0.09097976085057155,0.6274483261722485,0.6357531344186905
ANN (MLP),0.3,3,240,0.05919766944598938,0.11462159967065873,0.7627975123416356,0.54110059185003
Classical,0.5,1,400,0.10258456842359852,0.09305379729238593,0.5850873139418145,0.6274495153943112
ANN (MLP),0.5,1,400,0.07291727762837284,0.0971373534412206,0.7050793897585972,0.6111005767541963
Classical,0.5,2,400,0.0931798995874053,0.09458148051172102,0.6261495038996754,0.6213332779032288
ANN (MLP),0.5,2,400,0.0727845789246843,0.10032102494015895,0.7079783187153768,0.5983544192166591
Classical,0.5,3,400,0.10209522675553188,0.09232639211801302,0.590379992455049,0.6303617571093463
ANN (MLP),0.5,3,400,0.07743408220779316,0.10492689759686133,0.6893238758934049,0.5799143325118152
Classical,1.0,1,800,0.0986238314967513,0.09195615782302621,0.6044143410404876,0.6318440283333951
ANN (MLP),1.0,1,800,0.0673288199737546,0.07935619196231744,0.7299403682449568,0.6822892925139927
Classical,1.0,2,800,0.09862383149675132,0.0919561578230261,0.6044143410404876,0.6318440283333956
ANN (MLP),1.0,2,800,0.075777323957997,0.09448916729604666,0.6960529501117576,0.621702863392867
Classical,1.0,3,800,0.0986238314967513,0.09195615782302614,0.6044143410404876,0.6318440283333955
ANN (MLP),1.0,3,800,0.06973290262425712,0.08473084384946979,0.7202974593753748,0.660771318789031
