model,fraction,run,n_train,train_acc,test_acc,train_f1,test_f1
Classical,0.1,1,986,0.526369168356998,0.5046615322253749,0.488499452354874,0.47643530419880037
ANN (MLP),0.1,1,986,0.6997971602434077,0.48601540332387516,0.6960985626283368,0.48705501618122976
Classical,0.1,2,986,0.5486815415821501,0.4779083907580057,0.657428791377983,0.5913705583756346
ANN (MLP),0.1,2,986,0.6906693711967545,0.4969598702877989,0.726457399103139,0.5543985637342909
Classical,0.1,3,986,0.5283975659229209,0.49979732468585325,0.6015424164524421,0.5673211781206171
ANN (MLP),0.1,3,986,0.6906693711967545,0.4965545196595055,0.7204399633363886,0.5281155015197568
Classical,0.3,1,2960,0.5280405405405405,0.4868261045804621,0.5347985347985348,0.49521531100478466
ANN (MLP),0.3,1,2960,0.6307432432432433,0.5079043372517228,0.6242695084221382,0.4958471760797342
Classical,0.3,2,2960,0.5216216216216216,0.5054722334819619,0.4899135446685879,0.49081803005008345
ANN (MLP),0.3,2,2960,0.6222972972972973,0.4949331171463316,0.6339227242960053,0.5211375864719446
Classical,0.3,3,2960,0.5341216216216216,0.4969598702877989,0.46153846153846156,0.42625982431807674
ANN (MLP),0.3,3,2960,0.6219594594594594,0.5152006485610052,0.5829295564666418,0.48713550600343053
Classical,0.5,1,4933,0.5140887897830935,0.49209566274827726,0.5117131798737014,0.49291784702549574
ANN (MLP),0.5,1,4933,0.5929454692884655,0.4904742602351034,0.5569285083848191,0.4385886556498437
Classical,0.5,2,4933,0.522197445773363,0.4965545196595055,0.5436592449177154,0.5255920550038197
ANN (MLP),0.5,2,4933,0.5921346036894385,0.5050668828536684,0.5717326521924223,0.4784280222127296
Classical,0.5,3,4933,0.5195621325765254,0.4925010133765707,0.5575056011949215,0.5321375186846039
ANN (MLP),0.5,3,4933,0.5961889316845733,0.5119578435346575,0.6135040745052387,0.5376344086021505
Classical,1.0,1,9867,0.5076517685213338,0.49209566274827726,0.5182467274890916,0.5045472518782127
ANN (MLP),1.0,1,9867,0.5726157900070944,0.5107417916497771,0.5850634655121519,0.5298013245033113
Classical,1.0,2,9867,0.5076517685213338,0.49209566274827726,0.5182467274890916,0.5045472518782127
ANN (MLP),1.0,2,9867,0.574642748555792,0.5050668828536684,0.5856451772139402,0.5183431952662721
Classical,1.0,3,9867,0.5076517685213338,0.49209566274827726,0.5182467274890916,0.5045472518782127
ANN (MLP),1.0,3,9867,0.5713996148778757,0.49371706526145115,0.5803314478515431,0.5033797216699801
