model,fraction,run,n_train,train_acc,test_acc,train_f1,test_f1
Classical,0.1,1,392,0.9489795918367347,0.9521384928716904,0.2857142857142857,0.11320754716981132
ANN (MLP),0.1,1,392,0.9719387755102041,0.9501018329938901,0.6451612903225806,0.0392156862745098
Classical,0.1,2,392,0.9668367346938775,0.955193482688391,0.0,0.0
ANN (MLP),0.1,2,392,0.9770408163265306,0.9541751527494908,0.47058823529411764,0.0
Classical,0.1,3,392,0.9719387755102041,0.9572301425661914,0.0,0.0
ANN (MLP),0.1,3,392,0.9719387755102041,0.9572301425661914,0.15384615384615385,0.0
Classical,0.3,1,1178,0.9567062818336163,0.9572301425661914,0.03773584905660377,0.0
ANN (MLP),0.3,1,1178,0.9736842105263158,0.9501018329938901,0.5974025974025974,0.07547169811320754
Classical,0.3,2,1178,0.9567062818336163,0.9562118126272913,0.0,0.0
ANN (MLP),0.3,2,1178,0.969439728353141,0.9531568228105907,0.45454545454545453,0.0
Classical,0.3,3,1178,0.9592529711375212,0.9572301425661914,0.04,0.0
ANN (MLP),0.3,3,1178,0.9719864176570459,0.9490835030549898,0.49230769230769234,0.038461538461538464
Classical,0.5,1,1963,0.9607743250127356,0.9572301425661914,0.0,0.0
ANN (MLP),0.5,1,1963,0.9643402954661233,0.9572301425661914,0.18604651162790697,0.0
Classical,0.5,2,1963,0.9577177789098319,0.9572301425661914,0.04597701149425287,0.0
ANN (MLP),0.5,2,1963,0.9694345389709628,0.9470468431771895,0.5,0.037037037037037035
Classical,0.5,3,1963,0.9633214467651554,0.9572301425661914,0.02702702702702703,0.0
ANN (MLP),0.5,3,1963,0.9694345389709628,0.9521384928716904,0.3877551020408163,0.04081632653061224
Classical,1.0,1,3927,0.9574738986503692,0.9572301425661914,0.011834319526627219,0.0
ANN (MLP),1.0,1,3927,0.9600203717850777,0.9572301425661914,0.13259668508287292,0.0
Classical,1.0,2,3927,0.9574738986503692,0.9572301425661914,0.011834319526627219,0.0
ANN (MLP),1.0,2,3927,0.9620575502928445,0.955193482688391,0.25125628140703515,0.0
Classical,1.0,3,3927,0.9574738986503692,0.9572301425661914,0.011834319526627219,0.0
ANN (MLP),1.0,3,3927,0.961038961038961,0.9531568228105907,0.2233502538071066,0.0
