model,fraction,run,n_train,train_acc,test_acc,train_f1,test_f1
Classical,0.1,1,82,0.926829268292683,0.751219512195122,0.9285714285714286,0.7692307692307693
ANN (MLP),0.1,1,82,0.975609756097561,0.7707317073170732,0.9767441860465116,0.7947598253275109
Classical,0.1,2,82,0.926829268292683,0.7707317073170732,0.9302325581395349,0.7947598253275109
ANN (MLP),0.1,2,82,0.9878048780487805,0.7707317073170732,0.9887640449438202,0.7965367965367965
Classical,0.1,3,82,0.9024390243902439,0.8,0.9047619047619048,0.7939698492462312
ANN (MLP),0.1,3,82,1.0,0.8390243902439024,1.0,0.8405797101449275
Classical,0.3,1,246,0.8739837398373984,0.8292682926829268,0.8784313725490196,0.8458149779735683
ANN (MLP),0.3,1,246,0.983739837398374,0.9317073170731708,0.983739837398374,0.9351851851851852
Classical,0.3,2,246,0.8780487804878049,0.7951219512195122,0.8936170212765957,0.8141592920353983
ANN (MLP),0.3,2,246,0.9959349593495935,0.8780487804878049,0.9963636363636363,0.8815165876777251
Classical,0.3,3,246,0.8780487804878049,0.8536585365853658,0.8913043478260869,0.8623853211009175
ANN (MLP),0.3,3,246,0.9959349593495935,0.8780487804878049,0.9962264150943396,0.8837209302325582
Classical,0.5,1,410,0.8804878048780488,0.8439024390243902,0.8883826879271071,0.8571428571428571
ANN (MLP),0.5,1,410,0.9878048780487805,0.8975609756097561,0.9882352941176471,0.9049773755656109
Classical,0.5,2,410,0.8682926829268293,0.8195121951219512,0.8783783783783784,0.8384279475982532
ANN (MLP),0.5,2,410,0.9926829268292683,0.9365853658536586,0.9930394431554525,0.9400921658986175
Classical,0.5,3,410,0.8512195121951219,0.7902439024390244,0.8693790149892934,0.8154506437768241
ANN (MLP),0.5,3,410,0.9926829268292683,0.9170731707317074,0.9933184855233853,0.9230769230769231
Classical,1.0,1,820,0.8463414634146341,0.8097560975609757,0.8587443946188341,0.8311688311688312
ANN (MLP),1.0,1,820,0.9975609756097561,0.9902439024390244,0.9976303317535545,0.9905660377358491
Classical,1.0,2,820,0.8463414634146341,0.8097560975609757,0.8587443946188341,0.8311688311688312
ANN (MLP),1.0,2,820,1.0,1.0,1.0,1.0
Classical,1.0,3,820,0.8463414634146341,0.8097560975609757,0.8587443946188341,0.8311688311688312
ANN (MLP),1.0,3,820,0.9975609756097561,0.9902439024390244,0.9976303317535545,0.9905660377358491
