model,fraction,run,n_train,train_acc,test_acc,train_f1,test_f1
Classical,0.1,1,80,0.875,0.85,0.868421052631579,0.84375
ANN (MLP),0.1,1,80,0.975,0.79,0.9743589743589743,0.78125
Classical,0.1,2,80,0.875,0.885,0.84375,0.8756756756756757
ANN (MLP),0.1,2,80,0.9625,0.84,0.9552238805970149,0.8367346938775511
Classical,0.1,3,80,0.9,0.855,0.8918918918918919,0.8432432432432433
ANN (MLP),0.1,3,80,0.9625,0.83,0.96,0.8229166666666666
Classical,0.3,1,240,0.9291666666666667,0.86,0.9288702928870293,0.851063829787234
ANN (MLP),0.3,1,240,0.95,0.855,0.95,0.8512820512820513
Classical,0.3,2,240,0.8958333333333334,0.875,0.8858447488584474,0.8677248677248677
ANN (MLP),0.3,2,240,0.95,0.86,0.9454545454545454,0.851063829787234
Classical,0.3,3,240,0.9083333333333333,0.865,0.9035087719298246,0.8586387434554974
ANN (MLP),0.3,3,240,0.9666666666666667,0.855,0.9655172413793104,0.8497409326424871
Classical,0.5,1,400,0.9175,0.87,0.9181141439205955,0.8673469387755102
ANN (MLP),0.5,1,400,0.945,0.88,0.9455445544554455,0.8736842105263158
Classical,0.5,2,400,0.925,0.87,0.9238578680203046,0.8631578947368421
ANN (MLP),0.5,2,400,0.955,0.885,0.9533678756476683,0.8795811518324608
Classical,0.5,3,400,0.915,0.87,0.91005291005291,0.8645833333333334
ANN (MLP),0.5,3,400,0.9375,0.855,0.9315068493150684,0.8415300546448088
Classical,1.0,1,800,0.90125,0.875,0.8970013037809648,0.8677248677248677
ANN (MLP),1.0,1,800,0.9225,0.885,0.918848167539267,0.8795811518324608
Classical,1.0,2,800,0.90125,0.875,0.8970013037809648,0.8677248677248677
ANN (MLP),1.0,2,800,0.92375,0.895,0.919631093544137,0.8911917098445595
Classical,1.0,3,800,0.90125,0.875,0.8970013037809648,0.8677248677248677
ANN (MLP),1.0,3,800,0.92625,0.9,0.9226736566186108,0.8947368421052632
