model,fraction,run,n_train,train_mse,test_mse,train_r2,test_r2
Classical,0.1,1,200,67924.72766162414,96357.87653149689,0.04384077544371168,-0.05019629230162015
ANN (MLP),0.1,1,200,141403.4241235162,186352.38463061885,-0.9905002642496032,-1.031038773842945
Classical,0.1,2,200,88822.653628007,98840.39565000846,0.04893184095407621,-0.0772530568098806
ANN (MLP),0.1,2,200,173490.4507217808,186334.9915089257,-0.8576482106810697,-1.0308492076904812
Classical,0.1,3,200,86111.8382766978,99469.33850988302,0.07026022211166372,-0.08410785149076916
ANN (MLP),0.1,3,200,188474.51028866618,186285.68304715992,-1.0349379695081478,-1.0303117989638721
Classical,0.3,1,602,83242.72144646918,94726.97852169718,0.034261725909799035,-0.032421273749256185
ANN (MLP),0.3,1,602,140734.16934029467,169511.87693000134,-0.6327238158787887,-0.8474955142331886
Classical,0.3,2,602,90495.95943232861,93578.6378110729,0.019582790036888342,-0.019905606115148355
ANN (MLP),0.3,2,602,150211.13728416432,170487.91390351387,-0.6273608793733172,-0.8581332581066445
Classical,0.3,3,602,80193.19166639882,93587.97930845017,0.016181240932516605,-0.02000741829971786
ANN (MLP),0.3,3,602,133651.63780257647,169654.71744391762,-0.6396527650035133,-0.8490523208327643
Classical,0.5,1,1004,87392.19839187719,92395.69026679892,0.008062703186781595,-0.0070127615475559235
ANN (MLP),0.5,1,1004,114524.00356024323,146910.73282400615,-0.29989441394271954,-0.6011675689081151
Classical,0.5,2,1004,81564.84107779914,92213.85701286924,0.002922811557932281,-0.005030976394458708
ANN (MLP),0.5,2,1004,104358.23386135985,147648.944430717,-0.2757116060584879,-0.6092132743575118
Classical,0.5,3,1004,89764.34607086143,92764.82319515466,0.010966351756998893,-0.011035909905323438
ANN (MLP),0.5,3,1004,121312.1580545426,147784.59009839414,-0.3366309844467674,-0.6106916649405041
Classical,1.0,1,2009,83097.58450048364,92480.04919510773,0.004536213347756335,-0.007932182324782211
ANN (MLP),1.0,1,2009,72434.48687787303,104398.14067229109,0.13227431308499626,-0.13782644661523946
Classical,1.0,2,2009,83097.58450048366,92480.04919510773,0.004536213347756224,-0.007932182324782211
ANN (MLP),1.0,2,2009,72870.8599104538,103783.82275741894,0.1270468019122346,-0.13113104796474806
Classical,1.0,3,2009,83097.58450048364,92480.04919510773,0.004536213347756557,-0.007932182324782211
ANN (MLP),1.0,3,2009,72055.1920349421,104017.23519355379,0.13681805864476648,-0.1336749902331913
