model,fraction,run,n_train,train_mse,test_mse,train_r2,test_r2
Classical,0.1,1,80,23.972189583165694,33.00592863030241,0.9018030612489061,0.8643620216525529
ANN (MLP),0.1,1,80,4436.819461132056,4037.0308217882903,-17.174480364547133,-15.59019218416941
Classical,0.1,2,80,26.661429225774658,31.09776052580327,0.9015269890916112,0.8722036451057323
ANN (MLP),0.1,2,80,3941.0333577016877,3959.629322158663,-13.556062150190535,-15.272110452598778
Classical,0.1,3,80,33.25307411346847,30.296660286565047,0.8480509593922327,0.8754957693213852
ANN (MLP),0.1,3,80,4554.77871632992,4029.109561708376,-19.812940595067886,-15.557639738357679
Classical,0.3,1,240,31.45332695159332,28.940163284575082,0.8640195470430821,0.8810702984626549
ANN (MLP),0.3,1,240,3351.1289766000377,3248.566272078837,-13.487753135190749,-12.34999437852323
Classical,0.3,2,240,27.58085476335519,28.80440275979328,0.8852247022011803,0.8816282068107899
ANN (MLP),0.3,2,240,3430.871991145612,3322.4473976982367,-13.27727160278422,-12.653609120871332
Classical,0.3,3,240,25.007483575773776,29.762147974185055,0.8837666152731628,0.8776923495256603
ANN (MLP),0.3,3,240,3266.7976808675508,3235.258516053322,-14.183892874086139,-12.29530610891385
Classical,0.5,1,400,30.633166980718034,28.47913836802472,0.8528144916817199,0.8829648819585206
ANN (MLP),0.5,1,400,2096.1624891578485,2067.9176528571484,-9.071591411968914,-7.49811477702306
Classical,0.5,2,400,28.90714668937933,28.12530543613413,0.8757173614477461,0.8844189596211115
ANN (MLP),0.5,2,400,1986.2478605997003,1946.259009646591,-7.539622661021625,-6.998158160185943
Classical,0.5,3,400,33.61415990000171,27.930922625475564,0.8514061365129927,0.8852177764566729
ANN (MLP),0.5,3,400,2129.413441152767,2031.5976755554477,-8.413228565680638,-7.348857704149644
Classical,1.0,1,800,31.22246767430172,28.274012985331193,0.8615089117340726,0.8838078454311724
ANN (MLP),1.0,1,800,237.63593110816706,238.14218570842314,-0.05406334481834074,0.021353860679518166
Classical,1.0,2,800,31.222467674301715,28.274012985331233,0.8615089117340727,0.8838078454311723
ANN (MLP),1.0,2,800,255.722460371006,257.355163680792,-0.13428836568130564,-0.05760193903137334
Classical,1.0,3,800,31.22246767430172,28.2740129853312,0.8615089117340726,0.8838078454311724
ANN (MLP),1.0,3,800,219.1458430320506,209.95649886741276,0.0279517107021382,0.13718303865147152
