model,fraction,run,n_train,train_mse,test_mse,train_r2,test_r2
Classical,0.1,1,200,67924.72766162414,96357.87653149689,0.04384077544371168,-0.05019629230162015
ANN (MLP),0.1,1,200,140959.43140366997,185921.77830427865,-0.9842502909433923,-1.0263456321544577
Classical,0.1,2,200,88822.653628007,98840.39565000846,0.04893184095407621,-0.0772530568098806
ANN (MLP),0.1,2,200,173364.3152811934,186355.47672730798,-0.856297616025653,-1.0310724743414954
Classical,0.1,3,200,86111.8382766978,99469.33850988302,0.07026022211166372,-0.08410785149076916
ANN (MLP),0.1,3,200,189031.43835780674,186172.69282524908,-1.040951058877332,-1.029080328155377
Classical,0.3,1,602,83242.72144646918,94726.97852169718,0.034261725909799035,-0.032421273749256185
ANN (MLP),0.3,1,602,140872.04572174355,169704.69111862403,-0.6343233851425576,-0.8495969796585761
Classical,0.3,2,602,90495.95943232861,93578.6378110729,0.019582790036888342,-0.019905606115148355
ANN (MLP),0.3,2,602,150041.9638548043,170188.82538352674,-0.6255280843772368,-0.854873517792029
Classical,0.3,3,602,80193.19166639882,93587.97930845017,0.016181240932516605,-0.02000741829971786
ANN (MLP),0.3,3,602,131446.54678443866,167465.53027966048,-0.6126004696151481,-0.825192556319319
Classical,0.5,1,1004,87392.19839187719,92395.69026679892,0.008062703186781595,-0.0070127615475559235
ANN (MLP),0.5,1,1004,114084.04515053646,146953.69849846713,-0.29490070553779013,-0.6016358481359205
Classical,0.5,2,1004,81564.84107779914,92213.85701286924,0.002922811557932281,-0.005030976394458708
ANN (MLP),0.5,2,1004,105277.49659006229,148284.86859462783,-0.28694899565997023,-0.6161441576766957
Classical,0.5,3,1004,89764.34607086143,92764.82319515466,0.010966351756998893,-0.011035909905323438
ANN (MLP),0.5,3,1004,121894.22976251719,147999.91569996448,-0.34304431590938056,-0.6130384803389617
Classical,1.0,1,2009,83097.58450048364,92480.04919510773,0.004536213347756335,-0.007932182324782211
ANN (MLP),1.0,1,2009,72045.56865068836,104374.48520827144,0.1369333415448315,-0.13756862772694123
Classical,1.0,2,2009,83097.58450048364,92480.04919510771,0.004536213347756335,-0.007932182324781989
ANN (MLP),1.0,2,2009,73124.98763702557,103529.73385425335,0.12400249020922738,-0.12836175464255395
Classical,1.0,3,2009,83097.58450048364,92480.04919510773,0.004536213347756557,-0.007932182324782211
ANN (MLP),1.0,3,2009,71918.65986551133,104695.373010769,0.1384536396450855,-0.14106595656562337
